# translation_file, data_install_file, offset in the data install file where translation_file is found
0017,0011,00204000
0025,0011,002B2800
0027,0011,002B5000
0028,0011,002B6000
0029,0011,002B9000
0030,0011,002BB000
0031,0011,002BD000
0032,0011,002BF800
0043,0011,00310800
0045,0011,00316000
0046,0011,0031A800
0047,0011,0031F000
0058,0012,00000000
0072,0012,00024800
0073,0012,00025800
0074,0012,00027800
0075,0012,00028000
0076,0012,00028800
0098,NONE,FFFFFFFF
0222,0013,00143000
0872,0017,0010A000
2813,0031,00280800
2814,0031,00284800
2816,0031,002AE000
2817,0031,002D1800
2818,0031,00331000
2820,NONE,FFFFFFFF
2821,NONE,FFFFFFFF
2822,NONE,FFFFFFFF
2823,NONE,FFFFFFFF
2824,NONE,FFFFFFFF
2884,NONE,FFFFFFFF
2885,NONE,FFFFFFFF
2886,NONE,FFFFFFFF
2887,NONE,FFFFFFFF
2888,NONE,FFFFFFFF
2889,NONE,FFFFFFFF
2890,NONE,FFFFFFFF
2891,NONE,FFFFFFFF
2892,NONE,FFFFFFFF
2893,NONE,FFFFFFFF
2894,NONE,FFFFFFFF
2895,NONE,FFFFFFFF
2896,NONE,FFFFFFFF
2897,NONE,FFFFFFFF
2898,NONE,FFFFFFFF
2899,NONE,FFFFFFFF
2900,NONE,FFFFFFFF
2901,NONE,FFFFFFFF
2948,NONE,FFFFFFFF
2949,NONE,FFFFFFFF
2950,NONE,FFFFFFFF
2951,NONE,FFFFFFFF
2952,NONE,FFFFFFFF
2953,NONE,FFFFFFFF
2954,NONE,FFFFFFFF
2955,NONE,FFFFFFFF
2956,NONE,FFFFFFFF
2957,NONE,FFFFFFFF
2958,NONE,FFFFFFFF
2959,NONE,FFFFFFFF
2960,NONE,FFFFFFFF
2961,NONE,FFFFFFFF
2962,NONE,FFFFFFFF
2963,NONE,FFFFFFFF
2964,NONE,FFFFFFFF
2965,NONE,FFFFFFFF
2966,NONE,FFFFFFFF
3012,NONE,FFFFFFFF
3013,NONE,FFFFFFFF
3014,NONE,FFFFFFFF
3015,NONE,FFFFFFFF
3016,NONE,FFFFFFFF
3017,NONE,FFFFFFFF
